Command line: -a ./ddata/dgrp2_downsampled_sfss_150.txt -f foldit -i 3 -n 150 -o dgrp2_n150_min5.out -x
Arguments:
	sfsfilename: ./ddata/dgrp2_downsampled_sfss_150.txt
	bothdirections: False
	foldstatus: foldit
	optimizetries: 3
	includemisspec: False
	nc: 150
	outfilename: CodonPairResults_dgrp2_n150_min5.out
	seed: 1
	limitSFSrange: True
	commandstring: -a ./ddata/dgrp2_downsampled_sfss_150.txt -f foldit -i 3 -n 150 -o dgrp2_n150_min5.out -x
	thetaNest_for_thetaNspace: False

	For each codon pair, 2Ns was estimated only in the direction in which the SFS with the highest count in the denominator
		The SFS for the direction shown under 'Codon_pair' is in the numerator of the ratio
		(e.g. CCT>CCC  means that the CCT to CCC SFS is in the numerator and CCC to CCT SFS is in the denominator)
		'maxbin' is the index of the highest frequency bin used, based on having a running mean count over 10 bins over 10
		'RMSE' is the root mean square error,  i.e. the square root of the sum of squared differences between observed and expected ratios
		'invRMSE' is the root mean square error for the inverses of the observed and expected ratios, to compare with RMSE

Codon_pair	AA	maxbin	Lklhd	RMSE	invRMSE	ThetaRatio	2Ns
TTT>TTC	F	75	908.930	6.0515	0.0207	0.164	-0.124
CTT>CTC	L	75	836.844	6.1979	0.0266	0.153	0.125
CTT>CTA	L	75	548.261	0.4272	0.2378	0.789	0.158
CTT>CTG	L	75	805.529	8.9235	0.0304	0.109	0.173
CTA>CTC	L	75	667.080	5.2429	0.0655	0.189	0.006
CTA>CTG	L	75	915.457	10.4270	0.0162	0.094	0.049
CTC>CTG	L	75	656.154	1.2409	0.1411	0.550	0.034
TTG>CTG	L	75	916.485	7.7252	0.0171	0.127	0.038
TTA>CTA	L	75	689.693	4.4169	0.0653	0.218	0.049
TTA>TTG	L	75	796.616	8.8009	0.0542	0.112	0.422
ATT>ATC	I	75	845.174	6.2473	0.0377	0.169	-0.289
ATA>ATT	I	75	615.273	0.7545	0.1423	0.696	-0.044
ATA>ATC	I	75	780.698	12.8357	0.0279	0.074	0.140
GTT>GTC	V	75	753.346	4.7032	0.0493	0.197	0.051
GTA>GTT	V	35	235.150	0.3047	0.3420	0.831	0.502
GTT>GTG	V	75	807.611	8.7038	0.0276	0.112	0.036
GTA>GTC	V	68	595.443	7.9046	0.0810	0.116	0.495
GTC>GTG	V	75	652.461	1.1044	0.1884	0.645	-0.426
GTA>GTG	V	75	872.490	10.0888	0.0363	0.094	0.371
TCT>TCC	S	75	823.478	7.2146	0.0269	0.133	0.054
TCA>TCT	S	26	178.067	0.1977	0.2164	1.086	0.044
TCT>TCG	S	75	634.510	5.1973	0.1398	0.185	0.455
TCA>TCC	S	75	724.173	5.5620	0.0524	0.172	0.024
TCG>TCC	S	75	615.710	0.5529	0.2330	0.837	-0.370
TCA>TCG	S	75	783.780	4.7237	0.0394	0.201	0.103
AGT>AGC	S	75	781.279	3.2962	0.0499	0.276	0.092
